boon,stat,contrib
Air Elemental,avg,0.0
Air Elemental,obp,0.0
Air Elemental,ops,0.0
Air Elemental,slg,0.0
Air Elemental,whip,-5.7223
Air Elemental,fip,-7.8054
Air Elemental,era,-8.6142
Amphibian,fip,3.9361
Amphibian,era,3.1236
Amphibian,whip,3.1062
Amphibian,avg,0.0
Amphibian,obp,0.0
Amphibian,ops,0.0
Amphibian,slg,0.0
Angelic,avg,0.0
Angelic,obp,0.0
Angelic,ops,0.0
Angelic,slg,0.0
Angelic,whip,-2.8522
Angelic,fip,-5.1161
Angelic,era,-5.1446
Archer's Mark,fip,3.5457
Archer's Mark,whip,3.2203
Archer's Mark,era,2.6914
Archer's Mark,avg,0.0
Archer's Mark,obp,0.0
Archer's Mark,ops,0.0
Archer's Mark,slg,0.0
Calculated,whip,0.6941
Calculated,fip,0.0628
Calculated,avg,0.0
Calculated,obp,0.0
Calculated,ops,0.0
Calculated,slg,0.0
Calculated,era,-0.9223
Clean,avg,0.0
Clean,obp,0.0
Clean,ops,0.0
Clean,slg,0.0
Clean,fip,-2.7691
Clean,whip,-3.0333
Clean,era,-3.3111
Demonic,era,5.1446
Demonic,fip,5.1161
Demonic,whip,2.8522
Demonic,avg,0.0
Demonic,obp,0.0
Demonic,ops,0.0
Demonic,slg,0.0
Draconic,avg,0.0
Draconic,obp,0.0
Draconic,ops,0.0
Draconic,slg,0.0
Draconic,era,-0.2177
Draconic,fip,-0.4716
Draconic,whip,-2.264
Earth Elemental,avg,0.0
Earth Elemental,obp,0.0
Earth Elemental,ops,0.0
Earth Elemental,slg,0.0
Earth Elemental,era,-1.0519
Earth Elemental,fip,-1.7283
Earth Elemental,whip,-1.8154
Fae,avg,0.0
Fae,obp,0.0
Fae,ops,0.0
Fae,slg,0.0
Fae,whip,-5.5795
Fae,era,-7.5567
Fae,fip,-7.5659
Fire Elemental,era,5.1446
Fire Elemental,fip,5.1161
Fire Elemental,whip,2.8522
Fire Elemental,avg,0.0
Fire Elemental,obp,0.0
Fire Elemental,ops,0.0
Fire Elemental,slg,0.0
Geometry Expert,avg,0.0
Geometry Expert,obp,0.0
Geometry Expert,ops,0.0
Geometry Expert,slg,0.0
Geometry Expert,fip,-0.9817
Geometry Expert,whip,-1.6217
Geometry Expert,era,-2.3062
Giant,avg,0.0
Giant,obp,0.0
Giant,ops,0.0
Giant,slg,0.0
Giant,era,-1.0519
Giant,fip,-1.7283
Giant,whip,-1.8154
Insectoid,avg,0.0
Insectoid,obp,0.0
Insectoid,ops,0.0
Insectoid,slg,0.0
Insectoid,whip,-0.3272
Insectoid,fip,-0.7471
Insectoid,era,-2.0449
Mer,whip,1.0374
Mer,avg,0.0
Mer,obp,0.0
Mer,ops,0.0
Mer,slg,0.0
Mer,era,-0.4546
Mer,fip,-1.2018
One With All,fip,4.8225
One With All,whip,4.7061
One With All,era,4.6646
One With All,avg,0.0
One With All,obp,0.0
One With All,ops,0.0
One With All,slg,0.0
Psychic,avg,0.0
Psychic,obp,0.0
Psychic,ops,0.0
Psychic,slg,0.0
Psychic,whip,-3.1971
Psychic,fip,-4.3465
Psychic,era,-5.06
Scooter,era,2.3644
Scooter,fip,2.0532
Scooter,whip,1.1278
Scooter,avg,0.0
Scooter,obp,0.0
Scooter,ops,0.0
Scooter,slg,0.0
Shiny,fip,0.5495
Shiny,whip,0.1191
Shiny,avg,0.0
Shiny,obp,0.0
Shiny,ops,0.0
Shiny,slg,0.0
Shiny,era,-0.1283
Soul in the Machine,avg,0.0
Soul in the Machine,obp,0.0
Soul in the Machine,ops,0.0
Soul in the Machine,slg,0.0
Soul in the Machine,whip,-0.6061
Soul in the Machine,fip,-2.2177
Soul in the Machine,era,-3.252
Spectral,fip,2.1976
Spectral,era,1.3805
Spectral,whip,0.2581
Spectral,avg,0.0
Spectral,obp,0.0
Spectral,ops,0.0
Spectral,slg,0.0
Stormrider,era,2.1039
Stormrider,whip,1.4218
Stormrider,fip,1.2285
Stormrider,avg,0.0
Stormrider,obp,0.0
Stormrider,ops,0.0
Stormrider,slg,0.0
Tenacious Badger,fip,1.8469
Tenacious Badger,era,1.6413
Tenacious Badger,whip,0.8929
Tenacious Badger,avg,0.0
Tenacious Badger,obp,0.0
Tenacious Badger,ops,0.0
Tenacious Badger,slg,0.0
The Light,avg,0.0
The Light,obp,0.0
The Light,ops,0.0
The Light,slg,0.0
The Light,whip,-1.1971
The Light,fip,-1.5459
The Light,era,-1.6615
UFO,avg,0.0
UFO,obp,0.0
UFO,ops,0.0
UFO,slg,0.0
UFO,fip,-0.7352
UFO,era,-1.4977
UFO,whip,-2.3665
Undead,whip,0.4486
Undead,avg,0.0
Undead,obp,0.0
Undead,ops,0.0
Undead,slg,0.0
Undead,era,-0.8342
Undead,fip,-1.2567
Water Elemental,avg,0.0
Water Elemental,obp,0.0
Water Elemental,ops,0.0
Water Elemental,slg,0.0
Water Elemental,whip,-2.8522
Water Elemental,fip,-5.1161
Water Elemental,era,-5.1446
