boon,stat,contrib
Air Elemental,era,0.0
Air Elemental,fip,0.0
Air Elemental,whip,0.0
Air Elemental,obp,-1.6947
Air Elemental,avg,-1.8084
Air Elemental,ops,-7.8869
Air Elemental,slg,-14.0661
Amphibian,era,0.0
Amphibian,fip,0.0
Amphibian,whip,0.0
Amphibian,obp,-3.2333
Amphibian,avg,-3.2635
Amphibian,ops,-7.5264
Amphibian,slg,-11.8103
Angelic,avg,0.619
Angelic,era,0.0
Angelic,fip,0.0
Angelic,whip,0.0
Angelic,obp,-0.8554
Angelic,ops,-9.1753
Angelic,slg,-18.4182
Archer's Mark,slg,3.5941
Archer's Mark,ops,2.2415
Archer's Mark,obp,0.886
Archer's Mark,avg,0.001
Archer's Mark,era,0.0
Archer's Mark,fip,0.0
Archer's Mark,whip,0.0
Calculated,avg,1.1552
Calculated,obp,0.2428
Calculated,era,0.0
Calculated,fip,0.0
Calculated,whip,0.0
Calculated,ops,-4.7475
Calculated,slg,-10.2915
Clean,avg,2.9134
Clean,obp,1.7772
Clean,ops,0.5058
Clean,era,0.0
Clean,fip,0.0
Clean,whip,0.0
Clean,slg,-0.7594
Demonic,slg,18.4182
Demonic,ops,9.1753
Demonic,obp,0.8554
Demonic,era,0.0
Demonic,fip,0.0
Demonic,whip,0.0
Demonic,avg,-0.619
Draconic,slg,2.342
Draconic,era,0.0
Draconic,fip,0.0
Draconic,whip,0.0
Draconic,ops,-2.1058
Draconic,obp,-4.6799
Draconic,avg,-6.3379
Earth Elemental,slg,5.0599
Earth Elemental,ops,2.4645
Earth Elemental,era,0.0
Earth Elemental,fip,0.0
Earth Elemental,whip,0.0
Earth Elemental,obp,-0.8376
Earth Elemental,avg,-1.2086
Fae,era,0.0
Fae,fip,0.0
Fae,whip,0.0
Fae,avg,-2.9177
Fae,obp,-3.3361
Fae,ops,-11.2811
Fae,slg,-18.4182
Fire Elemental,era,0.0
Fire Elemental,fip,0.0
Fire Elemental,whip,0.0
Fire Elemental,slg,-0.3682
Fire Elemental,avg,-1.5859
Fire Elemental,ops,-1.7749
Fire Elemental,obp,-2.244
Geometry Expert,era,0.0
Geometry Expert,fip,0.0
Geometry Expert,whip,0.0
Geometry Expert,obp,-2.2239
Geometry Expert,avg,-2.4212
Geometry Expert,ops,-4.5322
Geometry Expert,slg,-7.2556
Giant,slg,10.6481
Giant,ops,7.0417
Giant,avg,5.3416
Giant,obp,4.1289
Giant,era,0.0
Giant,fip,0.0
Giant,whip,0.0
Insectoid,slg,10.9348
Insectoid,ops,5.6074
Insectoid,obp,0.8343
Insectoid,avg,0.2385
Insectoid,era,0.0
Insectoid,fip,0.0
Insectoid,whip,0.0
Mer,avg,0.4029
Mer,era,0.0
Mer,fip,0.0
Mer,whip,0.0
Mer,obp,-0.0476
Mer,ops,-2.0365
Mer,slg,-4.0165
One With All,slg,4.6621
One With All,ops,2.5436
One With All,era,0.0
One With All,fip,0.0
One With All,whip,0.0
One With All,obp,-0.5691
One With All,avg,-1.5712
Psychic,era,0.0
Psychic,fip,0.0
Psychic,whip,0.0
Psychic,obp,-3.0518
Psychic,avg,-3.8735
Psychic,ops,-6.5637
Psychic,slg,-10.0681
Scooter,era,0.0
Scooter,fip,0.0
Scooter,whip,0.0
Scooter,obp,-3.3644
Scooter,avg,-3.9373
Scooter,ops,-7.1722
Scooter,slg,-10.4076
Shiny,slg,2.3855
Shiny,ops,1.8226
Shiny,obp,0.7828
Shiny,avg,0.0546
Shiny,era,0.0
Shiny,fip,0.0
Shiny,whip,0.0
Soul in the Machine,avg,3.5367
Soul in the Machine,obp,2.4807
Soul in the Machine,ops,2.1058
Soul in the Machine,era,0.0
Soul in the Machine,fip,0.0
Soul in the Machine,slg,0.0
Soul in the Machine,whip,0.0
Spectral,era,0.0
Spectral,fip,0.0
Spectral,whip,0.0
Spectral,avg,-0.3609
Spectral,obp,-1.4003
Spectral,ops,-8.4524
Spectral,slg,-15.0697
Stormrider,slg,1.4052
Stormrider,era,0.0
Stormrider,fip,0.0
Stormrider,ops,0.0
Stormrider,whip,0.0
Stormrider,obp,-0.8439
Stormrider,avg,-0.9516
Tenacious Badger,slg,9.4248
Tenacious Badger,ops,5.7037
Tenacious Badger,avg,3.3258
Tenacious Badger,obp,2.5439
Tenacious Badger,era,0.0
Tenacious Badger,fip,0.0
Tenacious Badger,whip,0.0
The Light,avg,3.5764
The Light,obp,2.4666
The Light,era,0.0
The Light,fip,0.0
The Light,whip,0.0
The Light,ops,-0.2152
The Light,slg,-3.0359
UFO,slg,6.0673
UFO,ops,1.2801
UFO,era,0.0
UFO,fip,0.0
UFO,whip,0.0
UFO,obp,-2.808
UFO,avg,-4.5279
Undead,avg,2.6187
Undead,obp,0.9484
Undead,era,0.0
Undead,fip,0.0
Undead,whip,0.0
Undead,ops,-4.2394
Undead,slg,-7.7701
Water Elemental,era,0.0
Water Elemental,fip,0.0
Water Elemental,whip,0.0
Water Elemental,obp,-4.1289
Water Elemental,avg,-5.3416
Water Elemental,ops,-7.0417
Water Elemental,slg,-10.6481
